epoch,train_loss,test_loss
1,5.834833698272705,5.1020927906036375
2,4.755913138389587,4.532166862487793
3,4.409067659378052,4.31878080368042
4,4.249184465408325,4.191255855560303
5,4.178492951393127,4.154348087310791
6,4.151239938735962,4.145043611526489
7,4.132268290519715,4.168873882293701
8,4.267228536605835,4.284953498840332
9,4.363912749290466,4.328283596038818
10,4.309663867950439,4.404492902755737
11,4.343636093139648,4.453229665756226
12,4.286808128356934,4.267175960540771
13,4.230777883529663,4.238817405700684
14,4.243583002090454,4.253418207168579
15,4.252453813552856,4.250260877609253
16,4.249249839782715,4.238186025619507
17,4.271274743080139,4.381648206710816
18,4.242489314079284,4.215919446945191
19,4.169263563156128,4.147721767425537
20,4.12209219455719,4.116392707824707
21,4.10247633934021,4.102008962631226
22,4.102920477390289,4.085228633880615
23,4.0635731983184815,4.060524368286133
24,4.041962683200836,4.053909707069397
25,4.044403572082519,4.047498178482056
26,4.033575901985168,4.030979490280151
27,4.023768930435181,4.025277471542358
28,4.021224555969238,4.028702974319458
29,4.003556413650513,4.006785798072815
30,3.9983910274505616,4.000739645957947
31,3.99025235414505,4.001096439361572
32,3.9867060470581053,3.997875761985779
33,3.9849039912223816,3.989716076850891
34,3.992594351768494,3.9919950008392333
35,3.966439259052277,3.971316599845886
36,3.9669553732872007,3.964129686355591
37,3.9596748876571657,3.9613290071487426
38,3.953397126197815,3.9504473924636843
39,3.9422514057159423,3.9522605419158934
40,3.9416859769821166,3.944187068939209
41,3.94152809381485,3.9376163244247437
42,3.9315914511680603,3.941973328590393
43,3.9410125112533567,3.930113410949707
44,3.9255559253692627,3.92390615940094
45,3.9110450839996336,3.9194565057754516
46,3.9177131772041323,3.923320460319519
47,3.9182199311256407,3.9216590404510496
48,3.918534286022186,3.915970063209534
49,3.906857316493988,3.908903646469116
50,3.9039927244186403,3.903734254837036
51,3.9075493025779724,3.9063934087753296
52,3.894080400466919,3.9058118581771852
53,3.9066028690338133,3.905111527442932
54,3.8969072198867796,3.9001465797424317
55,3.895989773273468,3.906853985786438
56,3.891829192638397,3.902563953399658
57,3.891217064857483,3.89524393081665
58,3.8898195600509644,3.92019464969635
59,3.898457081317902,3.8918808460235597
60,3.8854578375816344,3.883098268508911
61,3.8790773224830626,3.8751825094223022
62,3.8794258522987364,3.8777979373931886
63,3.865107681751251,3.875298523902893
64,3.8741653633117674,3.891178512573242
65,3.867824342250824,3.8798377990722654
66,3.8754652452468874,3.8711304903030395
67,3.860417149066925,3.874464416503906
68,3.8674592113494874,3.8625811338424683
69,3.8676197004318236,3.863782358169556
70,3.859658260345459,3.8555617809295653
71,3.862498416900635,3.8528603315353394
72,3.8510710048675536,3.85189151763916
73,3.843179771900177,3.8506408452987673
74,3.836153860092163,3.8449222564697267
75,3.838275148868561,3.8412739038467407
76,3.8302924060821533,3.8585535287857056
77,3.845836980342865,3.8500583171844482
78,3.8435261988639833,3.847875189781189
79,3.8407972049713135,3.8455111503601076
80,3.848842821121216,3.8400227069854735
81,3.830455532073975,3.8532503128051756
82,3.8389904832839967,3.8496227741241453
